id,domain,difficulty,question,gemini_answer,ground_truth,is_correct,response_time,subject
59,math,hard,"Let a, b, c be positive real numbers such that a + b + c = 10 and ab + bc + ca = 25. Let m = min{ab, bc, ca}. Find the largest possible value of m.",$\frac{25}{9}$,25/9,True,0.4853942394256592,
60,math,hard,In how many ways can 4 books be selected from a shelf of 6 books if the order in which the books are selected does not matter?,15,15,True,0.4261150360107422,
1,science,easy,Which body system's primary function is to transport nutrients and oxygen to cells throughout the body?,Cardiovascular system,circulatory system,False,0.45630621910095215,biology
2,science,easy,What force pulls objects toward Earth's center?,Gravity,gravity,True,0.3554222583770752,physics
3,science,easy,What is the chemical formula for water?,H₂O,H2O,False,0.5017600059509277,chemistry
4,science,easy,What process do plants use to convert sunlight into food?,Photosynthesis,photosynthesis,True,0.37589192390441895,biology
5,science,easy,What type of energy does a moving car have?,Kinetic energy,kinetic energy,True,0.4649617671966553,physics
6,science,easy,What is the basic unit of life?,Cell,cell,True,0.4085831642150879,biology
7,science,easy,What state of matter has a definite shape and definite volume?,Solid,solid,True,0.4350419044494629,chemistry
8,science,easy,What is the unit of measurement for electrical current?,Ampere,ampere,True,0.418198823928833,physics
9,science,easy,What organ in the human body is responsible for pumping blood?,Heart,heart,True,0.4620699882507324,biology
10,science,easy,What type of bond is formed when atoms share electrons?,Covalent bond,covalent bond,True,0.477154016494751,chemistry
11,science,easy,What property of a sound wave determines its pitch?,Frequency,frequency,True,0.46518397331237793,physics
12,science,easy,What molecule carries genetic information in living organisms?,DNA,DNA,True,0.3326857089996338,biology
13,science,easy,What is the pH of a neutral solution?,7,7,True,0.35514330863952637,chemistry
14,science,easy,"What is the speed of light in a vacuum, approximately in meters per second?","299,792,458",3 x 10^8 m/s,False,0.5168392658233643,physics
15,science,easy,What is the powerhouse of the cell that produces ATP?,Mitochondria,mitochondria,True,0.39347290992736816,biology
16,science,easy,What particles are found in the nucleus of an atom?,Protons and neutrons,protons and neutrons,True,0.44679713249206543,chemistry
17,science,easy,What is Newton's first law of motion also known as?,Law of Inertia,law of inertia,True,0.47262120246887207,physics
18,science,easy,What system in the human body is responsible for breaking down food?,Digestive system,digestive system,True,0.4090301990509033,biology
19,science,easy,What is the most abundant gas in Earth's atmosphere?,Nitrogen,nitrogen,True,0.4472048282623291,chemistry
20,science,easy,What type of simple machine is a ramp?,Inclined plane,inclined plane,True,0.39428019523620605,physics
21,science,medium,"One year, the oak trees in a park began producing more acorns than usual. The next year, the population of which organism would most likely increase?",Squirrels,squirrels,True,0.47664403915405273,biology
22,science,medium,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,Coriolis effect,Coriolis effect,True,0.4684019088745117,physics
23,science,medium,A student mixed two clear liquids together and a yellow solid formed. What type of change occurred?,Chemical change,chemical change,True,0.4676399230957031,chemistry
24,science,medium,What type of cell division results in four genetically different haploid cells?,Meiosis,meiosis,True,0.4185161590576172,biology
25,science,medium,"A car travels 100 kilometers in 2 hours. If it continues at the same speed, how long will it take to travel 250 kilometers?",5 hours,5 hours,True,0.3130760192871094,physics
26,science,medium,What is the name of the process by which a solid changes directly into a gas without passing through the liquid phase?,Sublimation,sublimation,True,0.4208500385284424,chemistry
27,science,medium,"In a food chain, if the population of primary consumers decreases, what will most likely happen to the producer population?",Increase.,increase,True,0.5226631164550781,biology
28,science,medium,What is the term for the minimum amount of energy required to start a chemical reaction?,Activation energy,activation energy,True,0.4442920684814453,physics
29,science,medium,"When iron rusts, it combines with oxygen from the air. What type of reaction is this?",Oxidation,oxidation,True,0.5924849510192871,chemistry
30,science,medium,What structure in plant cells is responsible for storing water and maintaining turgor pressure?,Vacuole,vacuole,True,0.4278531074523926,biology
31,science,medium,A student pushes a box across the floor. The box moves at a constant velocity. What can be said about the forces acting on the box?,The forces are balanced.,forces are balanced,True,0.3383800983428955,physics
32,science,medium,What is the term for a substance that speeds up a chemical reaction without being consumed in the process?,Catalyst,catalyst,True,0.361065149307251,chemistry
33,science,medium,A plant species has leaves with a waxy coating and small stomata. This plant is most likely adapted to what type of environment?,Dry environment,desert,False,0.44007015228271484,biology
34,science,medium,What property of waves describes the number of complete wavelengths that pass a point in one second?,Frequency,frequency,True,0.42573094367980957,physics
35,science,medium,"In an endothermic reaction, what happens to the temperature of the surroundings?",Decreases,decreases,True,0.4578208923339844,chemistry
36,science,medium,What is the name of the process by which water moves through a semipermeable membrane from an area of lower solute concentration to an area of higher solute concentration?,Osmosis,osmosis,True,0.35785484313964844,biology
37,science,medium,"A ball is thrown straight up into the air. At the highest point of its path, what is its velocity?",0 m/s,zero,False,0.38733577728271484,physics
38,science,medium,What is the name for an atom or molecule that has gained or lost electrons and carries an electrical charge?,Ion,ion,True,0.45711302757263184,chemistry
39,science,medium,"In natural selection, organisms with traits better suited to their environment are more likely to survive and reproduce. What is this principle called?",Survival of the fittest,survival of the fittest,True,0.40280866622924805,biology
40,science,medium,What is the term for the resistance of a fluid to flow?,Viscosity,viscosity,True,0.4635908603668213,physics
41,science,hard,"In an SN1 reaction mechanism, what is the rate-determining step and what intermediate is formed?",Formation of carbocation intermediate.,formation of carbocation intermediate,True,0.49291014671325684,chemistry
42,science,hard,"According to special relativity, what happens to the mass of an object as its velocity approaches the speed of light?",It increases.,relativistic mass increases toward infinity,False,0.36899399757385254,physics
43,science,hard,"In the lac operon, what molecule acts as an inducer by binding to the repressor and allowing transcription to occur?",Allolactose,allolactose,True,0.5704982280731201,biology
44,science,hard,What is the hybridization of the central carbon atom in an allene molecule (C=C=C)?,sp,sp,True,0.3964829444885254,chemistry
45,science,hard,"In quantum mechanics, what principle states that two identical fermions cannot occupy the same quantum state simultaneously?",Pauli Exclusion Principle,Pauli exclusion principle,True,0.40709996223449707,physics
46,science,hard,"During cellular respiration, how many net ATP molecules are produced through substrate-level phosphorylation in glycolysis?",2,2,True,0.5301661491394043,biology
47,science,hard,What is the IUPAC name for the compound with the structure CH3CH(OH)CH2CHO?,3-hydroxybutanal,3-hydroxybutanal,True,0.5388717651367188,chemistry
48,science,hard,"In thermodynamics, what is the Carnot efficiency of a heat engine operating between reservoirs at 500K and 300K?",40%,40%,True,0.5249233245849609,physics
49,science,hard,What enzyme is responsible for adding telomeric repeats to the ends of chromosomes?,Telomerase,telomerase,True,0.4136199951171875,biology
50,science,hard,"In the Born-Haber cycle for sodium chloride, what energy term represents the energy released when gaseous chlorine atoms gain electrons?",Electron affinity,electron affinity,True,0.44280409812927246,chemistry
51,science,hard,"According to Heisenberg's uncertainty principle, if the position of a particle is measured with high precision, what happens to the uncertainty in its momentum?",Increases,uncertainty in momentum increases,False,0.40218496322631836,physics
52,science,hard,"In the citric acid cycle, what enzyme catalyzes the conversion of isocitrate to alpha-ketoglutarate?",Isocitrate dehydrogenase,isocitrate dehydrogenase,True,0.43883490562438965,biology
53,science,hard,What is the coordination geometry of a complex with d8 electron configuration that exhibits strong crystal field splitting?,Square planar,square planar,True,0.3976571559906006,chemistry
54,science,hard,"In the photoelectric effect, what happens to the maximum kinetic energy of emitted electrons if the intensity of light is doubled while keeping frequency constant?",It remains constant.,remains the same,False,0.3999960422515869,physics
55,science,hard,"What type of mutation results in a premature stop codon, leading to a truncated protein?",Nonsense mutation,nonsense mutation,True,0.46364283561706543,biology
56,science,hard,"In NMR spectroscopy, what phenomenon causes the splitting of signals into multiplets?",Spin-spin coupling,spin-spin coupling,True,0.4861149787902832,chemistry
57,science,hard,What is the de Broglie wavelength of an electron accelerated through a potential difference of 100V? Express in terms of order of magnitude in nanometers.,0.1 nm,0.1 nm,True,0.3296380043029785,physics
58,science,hard,"In the electron transport chain, which complex is responsible for pumping protons across the inner mitochondrial membrane using the energy from cytochrome c oxidation?",Complex IV,Complex IV,True,0.37139296531677246,biology
59,science,hard,What is the hybridization of sulfur in SF6?,sp3d2,sp3d2,True,0.5479159355163574,chemistry
60,science,hard,"In a double-slit experiment, if the slit separation is halved while keeping wavelength constant, what happens to the fringe spacing?",Fringe spacing doubles.,doubles,False,0.3717329502105713,physics
